#00)dt*it                     01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)angle                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque                     
0                             -13335                        0                             0                             -0.3734980491344161           -0.2200603821528022           0                             6.787628323225461             -1.594631288388345e-10        -2.264230874336055e-11        -1.218770106431898e-10        
0.02                          -13289.8474204861             -4.56797901724645e-05         -0.0001000899540714287        -0.1122520556843892           0.03302140241550233           0.1266841184726153            5.883258329805963             2.420078263809642             5.302684652715726             -40749.78153765068            
0.04                          -13178.79459687176            0.0001438692022337328         0.0001052956175635128         0.310615807516053             -0.3765797758037476           0.2362906993185383            5.108262591933305             -7.494904643442928            -5.485403413280181            -75157.84158334302            
0.06                          -13029.63049897582            -8.676268912252534e-05        -4.352081668843467e-05        0.1067235081916296            -0.003575614252009754         0.3316375965715502            4.425162529859071             4.417597971049059             2.215900330569568             -103888.3674711917            
0.08                          -12860.84248058739            -5.34150776596454e-05         -3.729857818758271e-05        -0.01773413926173118          0.1110007526270505            0.4150533794611809            3.889157827919813             2.648977950806781             1.849723253242246             -127762.5218790849            
0.1                           -12684.03077850461            -7.345052240886054e-06        -5.333104614651313e-05        0.009806570978267733          -0.4201366067452993           0.4885750343860237            3.433638942490299             0.3541678203570672            2.571546091070999             -147618.0987017943            
0.12                          -12506.29346359956            -7.621484127339196e-05        -7.864518026906521e-05        -0.3952166690386434           0.07887875567082137           0.553858471736376             3.104417141216729             3.570731307045741             3.684594793532185             -164187.2772335542            
0.14                          -12331.77203209822            -0.0001338510974571914        -8.631827401446674e-05        0.4457365768663021            0.4188152964226445            0.6122618924306078            2.7493502582278               6.093041930834547             3.929298100421349             -178083.9882702582            
0.16                          -12162.87796721729            1.168052460476529e-05         -0.0001852604762012633        0.03276784500517408           0.3293568593305399            0.6648519685398508            2.506730003121912             -0.5168241850674741           8.197157050360417             -189799.1304601027            
0.18                          -12000.66722185056            -4.10160923421484e-05         2.174742532050679e-05         0.1112403432643317            -0.2588616705615927           0.712556440045959             2.274258850842096             1.76510620674023              -0.9358891407057683           -199740.3765407766            
0.2                           -11845.70375184398            3.960961256967162e-05         -3.52157635064756e-05         -0.1127793125041333           0.1414076023295194            0.7560737777212587            2.071417221609138             -1.659143195534372            1.475096336510333             -208220.5693351576            
0.22                          -11697.93033605022            1.287448617278283e-05         9.197716077118071e-05         -0.08369995544307111          -0.3869994380159841           0.7960300757632683            1.948684370394398             -0.5253252606854998           -3.752998395431064            -215500.0896123411            
0.24                          -11557.18402505778            -0.0001243220859638341        -0.0001707328563423416        -0.08314973656957893          0.05572789525161319           0.832907206781678             1.790836188739894             4.945605720065227             6.791853469971613             -221780.4785315698            
0.26                          -11423.07008338357            2.026311844032652e-05         -0.0001016457226903377        -0.3469315724197868           -0.1189152975649106           0.8671299485450926            1.664809166489447             -0.7864985265879795           3.945306412444708             -227227.978174546             
0.28                          -11295.16886876805            3.046715559087352e-05         9.244315840786291e-05         0.1271943801437409            -0.128088104872992            0.8990432754296894            1.511580689032311             -1.154722579716438            -3.503648446152852            -231974.7742486599            
0.3                           -11172.93762241221            -2.965080339741847e-05        9.908821364296986e-05         0.07337117633587155           -0.2282779537114905           0.928962221492419             1.484360410728278             1.098104690311378             -3.669689171959334            -236131.5770047267            
0.32                          -11055.99803442199            0.0001574354590773849         -2.564788904640725e-05        -0.05467079246442887          -0.1463281132525959           0.9571165717134721            1.351287215700705             -5.701166505930585            0.9287798748129035            -239783.3706660588            
0.34                          -10944.07264053166            -0.000229057557941937         0.0001290696007592121         -0.01596392686374595          -0.07581857585442546          0.9836806186953614            1.294844319437396             8.116032414544801             -4.573230732619365            -242997.8584457106            
0.36                          -10836.49751914997            0.000125811230563803          -8.339863908847766e-05        0.1430466810229627            -0.01250860154678955          1.008896329734524             1.224310580360214             -4.36412913126872             2.892924810529863             -245842.1013089018            
0.38                          -10732.89238900199            -0.000104951880979991         8.755764291055668e-05         -0.2644415388752681           -0.2068828842807356           1.03291776405715              1.168357871396702             3.565885692498354             -2.974892333680444            -248364.52991214              
0.4                           -10633.12014732566            -0.0001318420685311219        -6.510192220863503e-05        -0.5303970178926654           0.656204129643597             1.055830004601138             1.122992367982666             4.389841063079994             2.167647205346498             -250601.1316443155            
0.42                          -10536.62507268645            5.657920363088432e-05         -8.566710413688197e-05        0.3505307313801994            -0.02943931720472346          1.077803670430687             1.072365612228934             -1.846920878810702            2.796440265959234             -252591.634288321             
0.44                          -10443.36179340782            -7.498202633348985e-05        -0.0001148544831830125        0.106799216362323             -0.3788295248144631           1.09888395861025              0.9976994017447124            2.40064983277249              3.677219853043525             -254359.9203081727            
0.46                          -10352.68328709692            -5.068762719349765e-05        -0.0001630906900505291        0.07090832762577552           0.2444222515561929            1.119245690475664             0.9978119687014968            1.592158227571499             5.122871169840437             -255937.5024408147            
0.48                          -10264.62448606311            -3.876142810863551e-05        -0.00023407107917327          -0.07598570664884481          -0.04609145876643472          1.138904376878488             0.9731789569171835            1.194919614831978             7.215836398151509             -257339.9314410688            
0.5                           -10178.74363665418            0.0001141320255777923         -0.0001015768548710975        -0.3248072300516284           0.363610020190748             1.1579785937221               0.9086166449631566            -3.453886035273094            3.073938964624702             -258588.3430732099            
0.52                          -10094.97071783271            7.047858163668807e-05         0.0001682811404846033         -0.1715425236006103           0.329138674904475             1.176499976281399             0.913774759267493             -2.094231229941708            -5.000379003287264            -259695.5630486783            
