#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-30.74999999999996            -1076.463684932645            -1.103117597267556e-12        -8.055778266680136e-13        641.4353493235126             
-30.73999999999996            -1076.575192093657            -8.788525462932739e-13        -1.168509733417977e-13        636.3197325925458             
-30.72999999999996            -1076.685794431791            -1.361244450492904e-12        -1.764671742066071e-12        631.0667886237914             
-30.71999999999996            -1076.795467951467            -2.250200026310267e-12        1.826455653386461e-13         625.6762084039572             
-30.70999999999995            -1076.904188606147            -1.399214077935085e-12        -2.30936103573498e-12         620.1477172273607             
-30.69999999999995            -1077.011932304467            -8.349987368205802e-13        -6.304679001090108e-14        614.4810765311961             
-30.68999999999995            -1077.118674916717            -1.223243728531997e-12        -2.177702462802245e-13        608.6760856652613             
-30.67999999999995            -1077.224392281593            -1.914135516756232e-12        -7.422396031131484e-13        602.7325835944424             
-30.66999999999995            -1077.329060213265            -1.502631352678918e-12        -1.124822457398977e-12        596.6504505329835             
-30.65999999999995            -1077.43265450871             -1.529776305631003e-12        -3.848865670619261e-13        590.4296095094252             
-30.64999999999995            -1077.535150955317            -9.122147481832599e-13        -7.589762152093726e-13        584.0700278612038             
-30.63999999999994            -1077.636525338746            -6.616929226765933e-13        -5.787731405249019e-13        577.5717186575916             
-30.62999999999994            -1077.736753451021            -9.812706203149446e-13        -7.723127692926823e-13        570.9347420506143             
-30.61999999999994            -1077.835811098876            -1.079525357994271e-12        -1.607443345097437e-12        564.159206553064              
-30.60999999999994            -1077.933674112287            -8.507083926190262e-13        -9.884801310811042e-13        557.2452702421281             
-30.59999999999994            -1078.030318353226            -1.055877607569755e-12        -7.401509960480723e-13        550.1931418887299             
-30.58999999999994            -1078.125719724609            -3.60211860339632e-13         -1.1156284229763e-12          543.0030820117669             
-30.57999999999993            -1078.219854179406            -7.951417302365371e-13        -4.883107806996634e-13        535.6754038564835             
-30.56999999999993            -1078.312697729925            -1.178723785244529e-12        -1.235317403924796e-12        528.2104742961805             
-30.55999999999993            -1078.404226457248            -8.946732243941824e-13        -1.008484962206069e-12        520.6087146579652             
-30.54999999999993            -1078.494416520795            -7.123190925995004e-13        -1.086429557428659e-12        512.8706014708605             
-30.53999999999993            -1078.583244168032            -5.067057884389214e-13        -1.488836831597951e-12        504.9966671367485             
-30.52999999999993            -1078.670685744255            -5.221378884812111e-13        -2.529997045197518e-12        496.9875005236615             
