#00)dt*it                     01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)angle                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque                     
0                             -736.9108491466261            0                             0                             0.1111386598042482            0.3331917588747684            0                             0.8258760045508148            4.405364961712621e-13         -4.263256414560601e-14        -7.275957614183426e-12        
0.02                          -736.9567523513572            8.751577917260865e-05         2.436755768916777e-07         0.01891360429441365           -0.4086268248091093           0.01595774981343155           0.7998050825100267            0.02423274996043201           -0.0009474906214784057        329.6155818247233             
0.04                          -737.0962251767203            0.0005211447984984473         -0.0003090939678657379        0.1587963986491915            0.06122384442159617           0.03206446728443024           0.789531265568423             0.1514234829604511            -0.1167133574569706           662.2570811597332             
0.06                          -737.3318902880143            0.00103347628050727           -0.0001484703403323183        0.1340903546623494            -0.2018397831313967           0.04832391153828201           0.8445870660362045            0.2903994875728313            -0.08685898632580598          997.9270107720149             
0.08                          -737.6660493059704            0.001255794016778536          -0.0003652038458533259        0.09813907845201753           -0.008842178020373032         0.06472307236951175           0.8052642093725684            0.36268214123593              -0.1826475132656004           1336.313550015632             
0.1                           -738.1017382754508            0.001598014798403732          3.282897007007203e-05         0.03762806712928792           -0.02691070024796459          0.08128401792389334           0.8246017879302725            0.4354352623042463            -0.08466912459234135          1677.756301256901             
0.12                          -738.6426575321173            0.00219341697864635           -0.000836755779227819         -0.1057732037798068           0.3596616254728688            0.09801801314002501           0.8385226259042765            0.6574094978332878            -0.4371978338465118           2022.544951066075             
0.14                          -739.2886545493692            0.002227270202093843          -0.0006163808801472751        0.4683602164024742            0.09750093461914743           0.1148745326102678            0.8520120584407169            0.6542978073901389            -0.392538490011408            2369.378519608379             
0.16                          -740.0473360646497            0.002651967525438996          -0.00111964696207544          -0.07490691686523243          -0.08475454212663172          0.131943171698069             0.8499246486938938            0.8199697190229234            -0.6259360188291865           2720.185827342967             
0.18                          -740.9163861863482            0.002302278669021553          -0.001648232069459625         -0.6292833951477936           0.01609608481877636           0.1491315228940804            0.8585347368152069            0.7924457896861594            -0.790893624486483            3072.887372569023             
0.2                           -741.9001263713008            0.002464376247073136          -0.001328695571253435         -0.03467849028261032          -0.1281512641637106           0.1664735119332384            0.8824250655223               0.8104892214554669            -0.7314758250724528           3428.058636220355             
0.22                          -743.0016393744064            0.002394117730026879          -0.001573771921680409         0.09863739787703196           -0.1047546142529176           0.1839687850343576            0.8746401968560303            0.8344613512425565            -0.8276624308708111           3785.695625068501             
0.24                          -744.2249025684355            0.002189762401181911          -0.001566152231493105         -0.2037620122469849           0.4517308185731098            0.2016434366247435            0.889599508779562             0.7927573923961404            -0.8200523124686078           4146.167102833225             
0.26                          -745.5705021799199            0.001942737794761242          -0.001758355556806616         -0.07884632668860946          -0.9119943685033179           0.2194595730042909            0.909341808185975             0.7728937682190629            -0.8626078354607554           4508.635298764649             
0.28                          -747.0431785347131            0.001469333750566854          -0.002014008926263038         -0.2442887204500731           -0.2231544337584132           0.237447624333033             0.8964533470555418            0.7140203814840644            -0.8771158391833399           4873.585525766779             
0.3                           -748.6489094766107            0.001262642689948972          -0.002163415682746755         -0.08927843751120464          -0.2354452272030454           0.2556383328983602            0.9173536707407556            0.7107836345727496            -0.8936619554447792           5241.544623677071             
0.32                          -750.3893669758147            0.001435307048074642          -0.0020689635394337           -0.0778298925393955           -0.5290419083026113           0.274013210102793             0.9143592363385699            0.7552520024116536            -0.9050257289121252           5612.027410601095             
0.34                          -752.2612114825166            0.001250985278626871          -0.002355275735804002         0.1842090611321855            -0.3377983903178929           0.2925097340603677            0.9241526667645709            0.7921847403296316            -0.9571947854051569           5983.613336013856             
0.36                          -754.2749239553773            0.001657879229708232          -0.00289516426752916          -0.1317250280641736           0.1087515321722723            0.3111982942970543            0.9370263374802846            1.030333571805459             -1.20624358517291             6357.647580105088             
0.38                          -756.4278613518292            0.001881849075748943          -0.003073050742334563         0.01656584251734277           -0.598330404808058            0.3300397564033695            0.9539208638071236            1.150362655983252             -1.312441030380156            6733.14460593407              
0.4                           -758.7280993424968            0.002117140898781675          -0.003129083636509699         0.002750727920305025          0.3901958412752742            0.3490763102575383            0.9525580334388642            1.243453060162147             -1.390047660368346            7110.814356833876             
0.42                          -761.1840580533589            0.002290654049736043          -0.003259425626430308         0.1032879372522885            -0.2795150793237536           0.3683461175469903            0.9529875953610857            1.340892317385372             -1.474938384331304            7491.244191526843             
0.44                          -763.7787000864037            0.002253245768019674          -0.003544427368357058         -0.1643468707290551           0.01577016990645385           0.3876967504391744            0.9504898016345849            1.438588617906815             -1.542088375987547            7871.255629418342             
0.46                          -766.5324879891909            0.002795348971033623          -0.00386624715140844          0.6391862716305788            -0.1435374183998918           0.4072567548080303            0.9812437937262524            1.666742772225517             -1.779156343636382            8253.276941328517             
0.48                          -769.4334819965031            0.002913995277944853          -0.003214667767388996         -0.1016964514753807           -0.01083682981914084          0.4269460866220126            0.9997494463235295            1.519073500635526             -1.659390542371725            8635.474529129284             
0.5                           -772.4976812784846            0.00372844102372285           -0.003461215445671084         -0.0349521365680982           -0.02472478278982546          0.4468232285399821            1.03485447302629              1.759293569569651             -1.981115593067883            9018.898295991858             
