#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-30.01999999999985            -736.9829509633357            -1.843230429399156e-12        -1.083133582824303e-12        -413.1036197470149            
-30.00999999999985            -736.928874914323             -1.129055182680361e-12        -1.27364785384998e-12         -206.5587755956501            
-29.99999999999984            -736.9108491586852            -1.337164886625285e-12        -9.445777493510832e-13        -8.300424811617607e-06        
-29.98999999999984            -736.9288749114262            -1.394114858277451e-12        -7.052136652418994e-13        206.5587589945373             
-29.97999999999984            -736.982950957541             -1.818198369640811e-12        -1.073363620207601e-12        413.1036031452342             
-29.96999999999984            -737.0730736517791            -1.861132775671237e-12        -1.405986438385298e-12        619.620598248369              
-29.95999999999984            -737.1992369179196            -1.759436346615573e-12        -1.27453603226968e-12         826.0958128854015             
-29.94999999999984            -737.3614322475692            -1.159052021026952e-12        -1.015632022927093e-12        1032.515307373459             
-29.93999999999983            -737.5596486984794            -1.674944904994646e-12        -1.579625319436673e-12        1238.865131025894             
-29.92999999999983            -737.7938728923905            -1.725612708280977e-12        -9.889866703360894e-13        1445.131319426064             
-29.91999999999983            -738.0640890123946            -1.735521448775756e-12        -1.164401908226864e-12        1651.299891717933             
-29.90999999999983            -738.3702787998374            -1.265723637011718e-12        -1.034727858950646e-12        1857.35684791613              
-29.89999999999983            -738.7124215507395            -1.640763913623999e-12        -1.196820420545919e-12        2063.28816623942              
-29.88999999999983            -739.0904941117648            -1.67781066817696e-12         -1.613376099385277e-12        2269.079800470255             
-29.87999999999982            -739.5044708757295            -1.424957374318581e-12        -1.184385922670117e-12        2474.717677343714             
-29.86999999999982            -739.9543237766527            -1.155006645880974e-12        -1.679545391652937e-12        2680.187693969691             
-29.85999999999982            -740.4400222843632            -1.874930766199157e-12        -8.708589405159728e-13        2885.475715290521             
-29.84999999999982            -740.9615333986682            -1.673439165017498e-12        -1.095568080700104e-12        3090.567571577691             
-29.83999999999982            -741.5188216430878            -1.700500851242737e-12        -1.423750006779301e-12        3295.44905597121              
-29.82999999999982            -742.1118490581564            -1.922781378560501e-12        -1.660449555629384e-12        3500.105922063366             
-29.81999999999982            -742.7405751943202            -1.811023553344171e-12        -9.232614672782802e-13        3704.523881531557             
-29.80999999999981            -743.4049571044169            -1.446495700996309e-12        -1.321165399303936e-12        3908.688601822112             
-29.79999999999981            -744.1049493357574            -1.922254022623804e-12        -1.595612530991275e-12        4112.585703888225             
-29.78999999999981            -744.8405039218122            -1.951647177200755e-12        -1.13420384195706e-12         4316.200759985422             
-29.77999999999981            -745.6115703735367            -1.325800580431746e-12        -1.736832899723595e-12        4519.519291526734             
-29.76999999999981            -746.4180956703016            -1.433159146912999e-12        -1.444622199642254e-12        4722.5267670009               
-29.75999999999981            -747.2600242504876            -1.803140969869332e-12        -1.48725476378786e-12         4925.208599956482             
-29.7499999999998             -748.1372980017218            -1.950828387720094e-12        -1.289635065404582e-12        5127.550147053796             
-29.7399999999998             -749.0498562507859            -1.789846049149446e-12        -1.27808874594848e-12         5329.536706188522             
-29.7299999999998             -749.9976357531996            -1.657257664433587e-12        -1.210143096841421e-12        5531.153514688798             
-29.7199999999998             -750.9805706824993            -1.773775570867997e-12        -1.424194095989151e-12        5732.385747588215             
-29.7099999999998             -751.9985926192198            -1.550953809825728e-12        -1.214139899730071e-12        5933.21851597821              
-29.6999999999998             -753.0516305395959            -1.841027330584666e-12        -8.917311333789257e-13        6133.636865441001             
-29.6899999999998             -754.1396108039991            -1.914829406146623e-12        -1.48769885299771e-12         6333.625774566434             
-29.67999999999979            -755.2624571451227            -1.702749052867603e-12        -1.364242052659392e-12        6533.17015355473              
-29.66999999999979            -756.420090655928             -1.90564231061785e-12         -1.072031352578051e-12        6732.254842906941             
-29.65999999999979            -757.612429777374             -2.415789790433109e-12        -6.883382752675971e-13        6930.864612206137             
-29.64999999999979            -758.8393902859386            -2.175343238874916e-12        -9.547918011776346e-13        7128.984158990628             
-29.63999999999979            -760.1008852809535            -1.660144244297612e-12        -1.759481449425948e-12        7326.598107721599             
-29.62999999999979            -761.3968251717657            -1.984662434395545e-12        -1.521893722156165e-12        7523.69100884722              
-29.61999999999978            -762.7271176647477            -2.404465515581933e-12        -1.405986438385298e-12        7720.24733796485              
-29.60999999999978            -764.0916677501657            -1.520339409921689e-12        -1.48814294220756e-12         7916.251495082994             
-29.59999999999978            -765.4903776889294            -1.998040621842279e-12        -1.351807554783591e-12        8111.687803985463             
-29.58999999999978            -766.9231469992417            -1.945610339504356e-12        -1.147082429042712e-12        8306.540511698282             
-29.57999999999978            -768.389872443166             -1.586480946613733e-12        -7.860379014346108e-13        8500.79378806187              
-29.56999999999978            -769.8904480131156            -2.195715831376788e-12        -9.761080832504376e-13        8694.431725409386             
-29.55999999999977            -771.424764918317             -1.926375725602725e-12        -1.334043986389588e-12        8887.438338352791             
-29.54999999999977            -772.9927115712263            -1.477151734263771e-12        -1.505462421391712e-12        9079.797563677963             
-29.53999999999977            -774.5941735739505            -1.682487482668193e-12        -1.215028078149771e-12        9271.4932603499               
-29.52999999999977            -776.2290337046682            -2.087829908958838e-12        -1.127542503809309e-12        9462.509209629432             
-29.51999999999977            -777.8971719040904            -1.672773031202723e-12        -1.317612685625136e-12        9652.829115302124             
-29.50999999999977            -779.5984652619658            -1.765920742968774e-12        -1.035393992765421e-12        9842.436604020597             
-29.49999999999977            -781.3327880036553            -2.259914477775737e-12        -8.977263377119016e-13        10031.31522576086             
-29.48999999999976            -783.1000114767984            -1.953714967584119e-12        -6.281641873329136e-13        10219.44845439362             
-29.47999999999976            -784.9000041380887            -1.788069692310046e-12        -1.054711873393899e-12        10406.81968837117             
-29.46999999999976            -786.732631540178             -2.005673405136577e-12        -1.124433879340359e-12        10593.41225153041             
-29.45999999999976            -788.5977563195222            -1.691702333772582e-12        -1.055155962603749e-12        10779.20940122946             
-29.44999999999976            -790.4952381817037            -1.564082197091921e-12        -1.178390718337141e-12        10964.19430035264             
-29.43999999999976            -792.4249338898035            -1.824262962912826e-12        -9.050538096744276e-13        11148.35006226908             
-29.42999999999975            -794.3866972526804            -2.115196906515848e-12        -1.168398711115515e-12        11331.65972272087             
-29.41999999999975            -796.3803791123422            -2.257305453667868e-12        -5.131450819817474e-13        11514.10624860514             
-29.40999999999975            -798.4058273320624            -1.744659972047202e-12        -1.258104731505227e-12        11695.6725394807              
