#00)dt*it                     01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)angle                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque-T                   
4                             -1995                         0                             0                             0                             0                             2.105263157894775             0.5263157894736842            0                             0                             -190                          
4.1                           -1995                         0                             0                             0                             0                             2.157894736842124             0.5263157894736842            0                             0                             -190                          
4.2                           -1995                         0                             0                             0                             0                             2.210526315789472             0.5263157894736842            0                             0                             -190                          
4.3                           -1995                         0                             0                             0                             0                             2.263157894736821             0.5263157894736842            0                             0                             -190                          
4.4                           -1995                         0                             0                             0                             0                             2.315789473684169             0.5263157894736842            0                             0                             -190                          
4.5                           -1995                         0                             0                             0                             0                             2.368421052631518             0.5263157894736842            0                             0                             -190                          
4.600000000000001             -1995                         0                             0                             0                             0                             2.421052631578867             0.5263157894736842            0                             0                             -190                          
4.7                           -1995                         0                             0                             0                             0                             2.473684210526215             0.5263157894736842            0                             0                             -190                          
4.8                           -1995                         0                             0                             0                             0                             2.526315789473564             0.5263157894736842            0                             0                             -190                          
4.9                           -1995                         0                             0                             0                             0                             2.578947368420912             0.5263157894736842            0                             0                             -190                          
5                             -1995                         0                             0                             0                             0                             2.631578947368261             0.5263157894736842            0                             0                             -190                          
5.100000000000001             -1995                         0                             0                             0                             0                             2.68421052631561              0.5263157894736842            0                             0                             -190                          
5.2                           -1995                         0                             0                             0                             0                             2.736842105262958             0.5263157894736842            0                             0                             -190                          
5.3                           -1995                         0                             0                             0                             0                             2.789473684210307             0.5263157894736842            0                             0                             -190                          
5.4                           -1995                         0                             0                             0                             0                             2.842105263157655             0.5263157894736842            0                             0                             -190                          
5.5                           -1995                         0                             0                             0                             0                             2.894736842105004             0.5263157894736842            0                             0                             -190                          
5.600000000000001             -1995                         0                             0                             0                             0                             2.947368421052353             0.5263157894736842            0                             0                             -190                          
5.7                           -1995                         0                             0                             0                             0                             2.999999999999701             0.5263157894736842            0                             0                             -190                          
5.8                           -1995                         0                             0                             0                             0                             3.05263157894705              0.5263157894736842            0                             0                             -190                          
5.9                           -1995                         0                             0                             0                             0                             3.105263157894398             0.5263157894736842            0                             0                             -190                          
6                             -1995                         0                             0                             0                             0                             3.157894736841747             0.5263157894736842            0                             0                             -190                          
6.100000000000001             -1995                         0                             0                             0                             0                             3.210526315789096             0.5263157894736842            0                             0                             -190                          
6.2                           -1995                         0                             0                             0                             0                             3.263157894736444             0.5263157894736842            0                             0                             -190                          
6.3                           -1995                         0                             0                             0                             0                             3.315789473683793             0.5263157894736842            0                             0                             -190                          
6.4                           -1995                         0                             0                             0                             0                             3.368421052631141             0.5263157894736842            0                             0                             -190                          
6.5                           -1995                         0                             0                             0                             0                             3.42105263157849              0.5263157894736842            0                             0                             -190                          
6.600000000000001             -1995                         0                             0                             0                             0                             3.473684210525839             0.5263157894736842            0                             0                             -190                          
6.7                           -1995                         0                             0                             0                             0                             3.526315789473187             0.5263157894736842            0                             0                             -190                          
6.8                           -1995                         0                             0                             0                             0                             3.578947368420536             0.5263157894736842            0                             0                             -190                          
6.9                           -1995                         0                             0                             0                             0                             3.631578947367884             0.5263157894736842            0                             0                             -190                          
7                             -1995                         0                             0                             0                             0                             3.684210526315233             0.5263157894736842            0                             0                             -190                          
7.100000000000001             -1995                         0                             0                             0                             0                             3.736842105262582             0.5263157894736842            0                             0                             -190                          
7.2                           -1995                         0                             0                             0                             0                             3.78947368420993              0.5263157894736842            0                             0                             -190                          
7.3                           -1995                         0                             0                             0                             0                             3.842105263157279             0.5263157894736842            0                             0                             -190                          
7.4                           -1995                         -1.984058747222064e-81        2.014143565776888e-81         -1.47961395351669e-77         3.014491565139669e-77         3.894736842104627             0.5263157894736842            -2.811266511681711e-76        5.72753397376537e-76          -190                          
7.5                           -1995                         -2.657242863422272e-36        2.808181983418132e-36         -1.067868562785948e-33        1.174009515852828e-33         3.947368421051976             0.5263157894736842            -2.028950269293301e-32        2.230618080120373e-32         -190                          
7.600000000000001             -1995                         -3.099993984965344e-26        3.231317742563506e-26         -4.002069737788763e-24        6.037534150258551e-24         3.999999999999325             0.5263157894735583            -7.603932501798649e-23        1.147131488549125e-22         -190.0000000000455            
7.7                           -1994.999999997327            -6.48003717676946e-22         7.304254953492635e-22         -6.158385781950319e-20        5.581501315591495e-20         4.052631578931829             0.5263157883599626            -1.170093298570561e-18        1.060485249962384e-18         -190.0000004020535            
7.8                           -1994.999998898248            -1.733150251628749e-19        1.836059115301998e-19         -8.732909686191836e-18        7.817668296342848e-18         4.105263153375174             0.5263155814353685            -1.659252840376449e-16        1.485356976305141e-16         -190.000075101832             
7.9                           -1994.999947034232            -4.115320633033991e-18        5.13537264712419e-18          -9.638557313396134e-17        1.390517817848778e-16         4.157894549730053             0.5263099594913379            -1.831325889545266e-15        2.641983853912677e-15         -190.002104623627             
8                             -1994.99921097359             -4.699208277242888e-17        5.58132647199861e-17          -8.239480004711945e-16        8.834307554500834e-16         4.210523753846624             0.5262581560725752            -1.56550120089527e-14         1.678518435355159e-14         -190.0208056578003            
8.1                           -1994.994216324563            -2.448367245748613e-16        2.67520743752907e-16          -2.99609569610089e-15         2.814999695332469e-15         4.263140069966299             0.5260125722306864            -5.692581822591691e-14        5.348499421131692e-14         -190.1094614247222            
8.199999999999999             -1994.973300391816            -5.04616769272816e-16         6.090048946508356e-16         2.733924198139448e-15         2.261349002789135e-15         4.315709941129936             0.5252567629907281            5.194455976464951e-14         4.296563105299356e-14         -190.3823085603472            
8.300000000000001             -1994.910413825866            -6.016027849825542e-16        8.910073861847016e-16         5.822827600205097e-15         1.636118141552862e-16         4.368160123845064             0.5235228933905021            1.106337244038968e-13         3.108624468950438e-15         -191.0082354860288            
8.4                           -1994.761250360732            -4.646202544008099e-16        8.77754829238123e-16          -1.910460094216815e-14        -9.349246523159212e-16        4.420367021163901             0.520292444470589             -3.629874179011949e-13        -1.77635683940025e-14         -192.1744275461174            
8.5                           -1994.464544598374            -5.422847374326476e-16        8.66302002247253e-16          -1.379013862165984e-15        -2.169025193372938e-14        4.472158068020414             0.5151260825107612            -2.620126338115369e-14        -4.121147867408581e-13        -194.0394842136152            
8.6                           -1993.948764904414            -5.655526747171592e-16        8.711636104392965e-16         -4.586974075424989e-14        3.234839297013087e-14         4.523325101745969             0.507765612118113             -8.715250743307479e-13        6.146194664324867e-13         -196.6966140253612            
8.700000000000001             -1993.142118268872            -6.748862695264285e-16        8.938822794905732e-16         6.08577515866895e-14          -2.860869436086719e-14        4.573645198580867             0.4981785306016305            1.156297280147101e-12         -5.435651928564766e-13        -200.1575504528114            
8.800000000000001             -1991.98274826302             -6.671147083540522e-16        8.705091631826746e-16         -1.521589871644162e-14        1.533276429798111e-14         4.622903018755374             0.4865449599030494            -2.891020756123908e-13        2.913225216616411e-13         -204.3572694749992            
8.9                           -1990.426401367719            -4.548166929294146e-16        8.899555959508454e-16         1.193548184262813e-13         -1.495879443705474e-15        4.670909692740143             0.4732049519951277            2.267741550099345e-12         -2.842170943040401e-14        -209.1730123297589            
9                             -1988.450144997019            -5.060856235507893e-16        8.058123772424125e-16         2.984746952518579e-14         3.590110664893138e-14         4.717515446840362             0.4585895875449065            5.6710192097853e-13           6.821210263296962e-13         -214.4491588962887            
9.1                           -1986.052164199071            -6.230914437881264e-16        9.1837730538125e-16           2.739329231285649e-14         -4.973799150320701e-14        4.762615360222642             0.4431550144377221            5.204725539442734e-13         -9.450218385609332e-13        -220.0210397879823            
9.200000000000001             -1983.248638233722            -2.957743230123225e-16        8.817282590104658e-16         -1.134063603259213e-13        -5.310372025154433e-14        4.806149111788164             0.4273291286519208            -2.154720846192504e-12        -1.008970684779342e-12        -225.7341845566566            
9.300000000000001             -1980.069022297592            -4.568150943737403e-16        7.478470487988256e-16         -5.3407570763547e-14          1.196703554964379e-14         4.848096125769785             0.41147319690295              -1.014743844507393e-12        2.273736754432321e-13         -231.4581759180351            
9.4                           -1976.55095692588             -5.099655608579005e-16        7.134418215935997e-16         -3.903310423418971e-14        9.49883446752976e-14          4.888467692463085             0.3958603610522005            -7.416289804496046e-13        1.804778548830654e-12         -237.0944096601556            
9.5                           -1972.73574904369             -4.257288496842357e-16        7.246609174213911e-16         -3.833191074495277e-14        -1.054595007812359e-13        4.927297859079414             0.3806726705134059            -7.283063041541027e-13        -2.003730514843483e-12        -242.5771659446605            
9.6                           -1968.664971256114            -6.333756149636023e-16        6.917515696598708e-16         3.136672208519916e-14         2.318613137743485e-14         4.964634827435765             0.3660133094325869            5.95967719618784e-13          4.405364961712621e-13         -247.8691952948361            
9.700000000000001             -1964.378294553539            -6.28046544445402e-16         8.271286593152162e-16         7.914137181854274e-14         -4.338050386745875e-14        5.000534022933839             0.3519265201170622            1.503686064552312e-12         -8.242295734817162e-13        -252.9545262377405            
9.800000000000001             -1959.912360134349            -6.120125866581839e-16        8.121698648781611e-16         9.816708849317174e-14         -5.983517774821896e-15        5.035053231002078             0.3384180570346014            1.865174681370263e-12         -1.13686837721616e-13         -257.8310814105089            
9.9                           -1955.30037456259             -5.568520321715441e-16        5.324404089052374e-16         4.104319223666894e-14         7.47939721852737e-15          5.068249619153304             0.3254719824027975            7.7982065249671e-13           1.4210854715202e-13           -262.5046143525901            
10                            -1950.572130894194            -4.675199816427582e-16        5.040186994748336e-16         4.445566721762206e-14         -8.526512829121202e-14        5.10017819550389              0.3130625191548018            8.446576771348191e-13         -1.620037437533028e-12        -266.9844305851166            
10.1                          -1945.754236844293            -5.376860767990682e-16        4.322164861769706e-16         1.150892247000899e-13         7.329809274156823e-14         5.130891222173167             0.3011614053840009            2.186695269301708e-12         1.392663762089796e-12         -271.2807326563757            
10.2                          -1940.870413992511            -4.938848568380672e-16        3.080584923494162e-16         9.947598300641403e-14         8.67610077349175e-14          5.160438186012325             0.2897418511696845            1.890043677121866e-12         1.648459146963432e-12         -275.4031917277439            
10.3                          -1935.941795915814            -4.48073548874587e-16         2.093304490648549e-16         -1.299545266719131e-14        4.786814219857517e-14         5.188866044294007             0.2787802327735408            -2.469136006766348e-13        9.094947017729282e-13         -279.3603359687518            
10.4                          -1930.987194423271            -4.927629472552887e-16        3.319925634487038e-16         7.928161051639012e-14         -8.975276662232844e-15        5.216219566592814             0.2682564381941694            1.506350599811412e-12         -1.70530256582424e-13         -283.1594258119048            
10.5                          -1926.023326259038            -3.917910848051693e-16        1.824046190781564e-16         2.028786495525549e-14         -2.542995054299306e-14        5.242541672023479             0.2581535078746637            3.854694341498544e-13         -4.831690603168681e-13        -286.8065836572464            
10.6                          -1921.065003755763            -4.633128207073373e-16        1.001312496743554e-16         1.04992038455078e-13          -2.094231221187664e-14        5.267873713405327             0.2484569819648137            1.994848730646481e-12         -3.979039320256561e-13        -290.3070295107023            
10.7                          -1916.125296928042            -4.825722685450453e-16        -3.321779095565266e-16        -6.450980100979857e-15        8.376924884750654e-14         5.292255692055988             0.2391541939159727            -1.225686219186173e-13        1.591615728102624e-12         -293.6653359963339            
10.8                          -1911.215674799977            -4.645282227553483e-16        -3.127314767883551e-16        7.217618315878912e-14         1.795055332446569e-14         5.315726404766681             0.2302336348582627            1.371347480016993e-12         3.410605131648481e-13         -296.8856578161672            
10.9                          -1906.346132445018            -4.717271425781813e-16        -3.082438384572388e-16        7.058681124985206e-14         5.235578052969159e-14         5.33832353309202              0.2216844412892               1.341149413747189e-12         9.947598300641403e-13         -299.9719166945988            
11                            -1901.525308434083            -5.199692546376829e-16        -3.486325834372866e-16        1.132193753954581e-13         -1.795055332446569e-14        5.36008368807815              0.2134960170385379            2.151168132513703e-12         -3.410605131648481e-13        -302.9279378490878            
11.1                          -1896.760595710169            -4.175015127438579e-16        -4.937328894767177e-16        -9.096816867033914e-14        9.872804328456129e-14         5.381042423443333             0.205657778709738             -1.728395204736444e-12        1.875832822406664e-12         -305.7575418857846            
11.2                          -1892.058247564576            -5.524111400730452e-16        -4.353935911722042e-16        1.513643012099477e-13         -1.017198021719722e-13        5.401234228595621             0.1981590042598725            2.875921722989006e-12         -1.932676241267473e-12        -308.464599462186             
11.3                          -1887.423479429583            -4.877143541327836e-16        -5.07195804470067e-16         6.366836882271424e-14         5.684341886080801e-14         5.420692510672472             0.1909887618854842            1.209699007631571e-12         1.080024958355352e-12         -311.0530569593402            
11.4                          -1882.86056658726             -4.508783228315359e-16        -4.114595200729168e-16        7.928161051639012e-14         -6.581869552304086e-14        5.439449572545704             0.1841358976593472            1.506350599811412e-12         -1.250555214937776e-12        -313.5269409449756            
11.5                          -1878.372937552476            -5.080957115532704e-16        -4.832617333707793e-16        1.087317370643416e-13         4.03887449800478e-14          5.457536591720141             0.1775890633682171            2.065903004222491e-12         7.673861546209082e-13         -315.8903481240736            
11.6                          -1873.963262745197            -4.276921914541013e-16        -5.445927905627037e-16        -8.208638447333789e-14        1.047115610593832e-14         5.474983603373651             0.171336769554574             -1.55964130499342e-12         1.989519660128281e-13         -318.1474261907988            
11.7                          -1869.633538055503            -5.653131002750051e-16        -4.712946978211348e-16        3.122648338735177e-14         6.282693663562992e-14         5.491819489460587             0.1653674522274608            5.933031843596837e-13         1.193711796076968e-12         -320.3023497458867            
11.8                          -1865.385162972597            -4.133878442736685e-16        -5.490804288938192e-16        -6.703409757105156e-14        1.645467388076022e-14         5.508071974802756             0.1596695447705733            -1.27364785384998e-12         3.126388037344441e-13         -322.359294337823             
11.9                          -1861.219013056352            -4.354520660683241e-16        -5.146752016885931e-16        -6.310741403132469e-14        1.196703554964379e-14         5.523767630375186             0.1542315491174953            -1.199040866595169e-12        2.273736754432321e-13         -324.3224107685842            
12                            -1857.135506650178            -3.995509594193929e-16        -6.014362094235108e-16        -8.507814336074883e-14        2.991758887410948e-15         5.538931883505248             0.1490421022898334            -1.616484723854228e-12        5.684341886080801e-14         -326.1958010733701            
12.1                          -1853.134665850608            -2.971767099907996e-16        -6.074197271983329e-16        -1.134998527911528e-13        2.842170943040401e-14         5.553589034393295             0.1440900359317384            -2.156497203031904e-12        5.400124791776761e-13         -327.9834970286424            
12.2                          -1849.216171851001            -4.490084735269051e-16        -5.401051522315857e-16        2.524296561252988e-14         -1.495879443705474e-15        5.56776227818635              0.1393644276273257            4.796163466380676e-13         -2.842170943040401e-14        -329.6894416265354            
12.3                          -1845.379414860856            -4.958481986079326e-16        -5.416010316752905e-16        7.36720626024946e-14          4.63722627548697e-14          5.581473731757077             0.1348546435880668            1.399769189447397e-12         8.810729923425242e-13         -331.3174736647079            
12.4                          -1841.623538866238            -3.494389980552593e-16        -5.416010316752904e-16        -8.713497759584387e-14        4.786814219857517e-14         5.594744464328845             0.1305503728611274            -1.655564574321033e-12        9.094947017729282e-13         -332.871315397133             
12.5                          -1837.947481541857            -4.437728954739356e-16        -4.309059528410851e-16        -6.740806743197792e-14        -9.573628439715034e-14        5.607594531121292             0.1264416535576456            -1.280753281207581e-12        -1.818989403545856e-12        -334.3545630656899            
12.6                          -1834.350009653919            -4.699507857387812e-16        -6.448167132909681e-16        3.618158404462615e-14         -2.991758887410948e-14        5.620043009252745             0.1225188918174593            6.874500968478969e-13         -5.684341886080801e-13        -335.7706800538972            
12.7                          -1830.829750306941            -4.680809364341492e-16        -6.388331955161465e-16        7.946859544685331e-14         -2.991758887410948e-14        5.632108035212846             0.1187728743264055            1.509903313490213e-12         -5.684341886080801e-13        -337.1229923681676            
12.8                          -1827.385218390358            -4.004858840717078e-16        -6.94180734933249e-16         -1.000369377978036e-14        2.542995054299306e-14         5.643806843302865             0.115194775237455             -1.900701818158268e-13        4.831690603168681e-13         -338.4146861392787            
12.9                          -1824.014840574732            -4.436794030087035e-16        -6.657590255028444e-16        6.824949961906225e-15         -2.692582998669853e-14        5.655155804525511             0.1117761583275819            1.296740492762183e-13         -5.115907697472721e-13        -339.6488068437429            
13                            -1820.716976194411            -4.887427712503304e-16        -7.166189265888306e-16        9.0313721413718e-14           1.495879443705474e-15         5.666170465487159             0.1085089751744908            1.715960706860642e-12         2.842170943040401e-14         -340.8282599620088            
13.1                          -1817.48993533629             -3.746819636677878e-16        -7.136271677014195e-16        -6.114407226146125e-14        7.47939721852737e-15          5.67686558695062              0.1053855600723907            -1.161737372967764e-12        1.4210854715202e-13           -341.9558128138669            
13.2                          -1814.331994433809            -4.33301739367996e-16         -6.657590255028442e-16        -8.517163582598043e-14        -4.188462442375327e-14        5.687255181744769             0.1023986223273025            -1.618261080693628e-12        -7.958078640513122e-13        -343.0340973398438            
13.3                          -1811.241409643361            -4.143227689259828e-16        -6.478084721783785e-16        -1.077968124120257e-13        -3.590110664893138e-14        5.697352551797625             0.0995412364982875            -2.048139435828489e-12        -6.821210263296962e-13        -344.0656136241182            
13.4                          -1808.21642825749             -4.495694283182932e-16        -9.200585309327745e-16        5.366467504293388e-14         3.739698609263685e-14         5.707170324112415             0.09680683107515234           1.019628825815744e-12         7.105427357601002e-13         -345.05273398187              
13.5                          -1805.255298386757            -4.398462119342076e-16        -9.45488481475767e-16         2.804773956947764e-15         -7.47939721852737e-15         5.716720485551334             0.09418917600813609           5.329070518200751e-14         -1.4210854715202e-13          -345.9977074610629            
13.6                          -1802.356277119958            -4.270377441974798e-16        -9.724143114624662e-16        -8.788291731769661e-15        -1.944643276817116e-14        5.726014416330409             0.09168236944597864           -1.669775429036235e-13        -3.694822225952521e-13        -346.9026646300017            
13.7                          -1799.517637351556            -4.080587737554667e-16        -9.439926020320622e-16        -8.0683997494864e-14          -1.495879443705474e-14        5.735062922161272             0.08928082397502657           -1.532995952402416e-12        -2.842170943040401e-13        -347.7696225450154            
13.8                          -1796.737673445403            -3.520567870817429e-16        -1.171366277475294e-15        -4.066922237574258e-14        1.346291499334927e-14         5.743876265002298             0.08697925260205536           -7.72715225139109e-13         2.557953848736361e-13         -348.600489810658             
13.9                          -1794.014705885437            -4.296555332239646e-16        -1.359847087382182e-15        -7.385904753295779e-14        1.480920649268419e-13         5.752464192403758             0.08477265467996489           -1.403321903126198e-12        2.813749233609997e-12         -349.3970716605327            
14                            -1791.347085047397            -3.876774163349797e-16        -1.407715229580757e-15        -7.413952492865256e-14        1.062074405030887e-13         5.760835965449266             0.08265630193314777           -1.408650973644399e-12        2.017941369558685e-12         -350.1610750021337            
14.1                          -1788.733194209976            -3.988030196975392e-16        -1.276077838534675e-15        2.299914644697166e-14         -2.094231221187664e-14        5.769000385310105             0.08062572470972729           4.369837824924616e-13         -3.979039320256561e-13        -350.8941133797885            
14.2                          -1786.171451910095            -3.47288671354932e-16         -1.247656129104271e-15        1.692213620691818e-14         1.944643276817116e-14         5.776965818439894             0.07867669855448063           3.215205879314453e-13         3.694822225952521e-13         -351.5977118218325            
14.3                          -1783.660313734359            -3.391548268797833e-16        -1.29103663297173e-15         -2.421454849498236e-14        5.684341886080801e-14         5.784740220445852             0.07680523118067369           -4.600764214046649e-13        1.080024958355352e-12         -352.2733115437768            
14.4                          -1781.198273627491            -3.355086207357512e-16        -1.322450101289544e-15        -6.544472566211449e-16        5.085990108598612e-14         5.792331158679008             0.07500754989053365           -1.243449787580175e-14        9.663381206337363e-13         -352.9222744895173            
14.5                          -1778.783864788503            -3.328908317092667e-16        -1.246160249660565e-15        1.869849304631842e-15         -2.842170943040401e-14        5.79974583359034              0.07328008948287464           3.552713678800501e-14         -5.400124791776761e-13        -353.5458876966823            
14.6                          -1776.415660216589            -4.092741758034775e-16        -1.237184972998332e-15        4.113668470190054e-14         3.889286553634233e-14         5.806991098902888             0.07161948067291217           7.815970093361102e-13         7.389644451905042e-13         -354.1453674770787            
14.7                          -1774.092272960388            -1.543202231169257e-16        -1.108539340839661e-15        -7.619635916374758e-14        -8.975276662232844e-15        5.814073480651789             0.07002253903739929           -1.447730824111204e-12        -1.70530256582424e-13         -354.7218634074989            
14.8                          -1771.812356117826            -3.148467859195691e-16        -1.107043461395956e-15        -2.337311630789803e-15        5.983517774821896e-15         5.820999195144924             0.06848625448804409           -4.440892098500626e-14        1.13686837721616e-13          -355.2764621298161            
14.9                          -1769.574602627106            -2.974571873864929e-16        -1.062167078084792e-15        -2.356010123836122e-14        0                             5.827774165897168             0.06700778127358697           -4.476419235288631e-13        0                             -355.8101909602351            
15                            -1767.377744884255            -3.068064339096521e-16        -1.258127285210209e-15        -1.682864374168658e-14        4.63722627548697e-14          5.834404039590537             0.06558442850023929           -3.197442310920451e-13        8.810729923425242e-13         -356.3240213114136            
15.1                          -1765.220554217626            -4.117049798994983e-16        -1.207267384124223e-15        8.320829405611699e-15         -2.243819165558211e-14        5.840894201111758             0.06421365116072122           1.580957587066223e-13         -4.263256414560601e-13        -356.8188719309796            
15.2                          -1763.101840245967            -4.109570401776456e-16        -1.29103663297173e-15         5.46930921604814e-14          -7.928161051639012e-14        5.84724978771721              0.06289304165712865           1.039168751049147e-12         -1.506350599811412e-12        -357.2956119617766            
15.3                          -1761.020450142483            -3.966526929972117e-16        -1.252143767435387e-15        1.963341769863435e-15         2.243819165558211e-14         5.853475702373792             0.06162032179712787           3.730349362740526e-14         4.263256414560601e-13         -357.7550638312368            
15.4                          -1758.975267824576            -4.232980455882154e-16        -1.175853915806408e-15        -2.271866905127689e-14        -1.495879443705474e-14        5.859576626322386             0.06039333525037727           -4.316547119742609e-13        -2.842170943040401e-13        -358.1980059746138            
15.5                          -1756.965213085952            -4.789260624010129e-16        -1.328433619064367e-15        2.197072932942415e-14         -1.645467388076022e-14        5.865557030908581             0.05921004044023417           4.174438572590589e-13         -3.126388037344441e-13        -358.6251754010755            
15.6                          -1754.989240685299            -5.712031255845944e-16        -1.346384172388832e-15        -1.25840858201723e-13         6.133105719192444e-14         5.871421188723484             0.05806850385317421           -2.390976305832737e-12        1.165290086646564e-12         -359.0372701090041            
15.7                          -1753.04633940381             -4.518132474838508e-16        -1.328433619064366e-15        7.152173590216798e-14         -3.44052272052259e-14         5.877173184095289             0.05696689374488646           1.358912982141192e-12         -6.536993168992922e-13        -359.434951358096             
15.8                          -1751.135531081831            -5.688658139538043e-16        -1.316466583514722e-15        1.106015863689735e-13         -5.684341886080801e-14        5.882816922970234             0.05590347422342466           2.101430141010496e-12         -1.080024958355352e-12        -359.8188458053437            
15.9                          -1749.255869643357            -4.68454906295074e-16         -1.352367690163653e-15        -7.086728864554683e-14        1.331332704897872e-13         5.888356142219592             0.05487659968648813           -1.34647848426539e-12         2.529532139305957e-12         -360.1895475131778            
16                            -1747.406440115843            -4.069368641726865e-16        -1.341896534057715e-15        -6.637965031443041e-15        1.211662349401434e-13         5.893794418407376             0.05388470959733845           -1.261213355974178e-13        2.302158463862725e-12         -360.5476198353608            
16.1                          -1745.58635765131             -4.045060600766651e-16        -1.267102561872441e-15        -9.25575405792762e-15         -5.983517774821896e-15        5.899135176051332             0.05292632357705516           -1.758593271006248e-13        -1.13686837721616e-13         -360.8935971886831            
16.2                          -1743.794766554112            -4.366674681163329e-16        -1.331425377951776e-15        -5.179482573830204e-14        -7.47939721852737e-15         5.904381695408222             0.05200003679606185           -9.841016890277388e-13        -1.4210854715202e-13          -361.2279867166217            
16.3                          -1742.030839319378            -4.628453583811786e-16        -1.400235832362228e-15        -9.349246523159212e-16        7.928161051639012e-14         5.909537119812271             0.05110451564706659           -1.77635683940025e-14         1.506350599811412e-12         -361.551269851409             
16.4                          -1740.293775685783            -4.452687749176392e-16        -1.253639646879091e-15        4.609178535917492e-14         -8.227336940380108e-14        5.914604462594181             0.05023849368282018           8.757439218243235e-13         -1.56319401867222e-12         -361.8639037805019            
